id,name_vi,region,category,meal_types,prep_time_min,cook_time_min,difficulty,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,sugar_g,price_est_vnd_min,price_est_vnd_max,diet_tags,allergens,taste_profile,spice_level,servings,image_url,description,ingredients,utensils,steps,suitable_for,avoid_for
thit-bo-tron-salad-dau-oliu-voi-bong-cai-xanh-kieu-keto,Thịt bò trộn salad dầu ôliu ,Trung,main,breakfast,38,30,easy,592,28,5,40,7,398,4,25000,65000,keto,Tôm,"Mặn, Chua, Cay, Đậm đà",1,1,https://cdn.tgdd.vn/2020/11/CookProduct/Screenshotter--YouTube-6ThaiDinnersYouCanMakeAtHomeQuarantineCookingStayHomeWithMeMarionsKitchen-5%E2%80%9911%E2%80%9D-1200x676.jpg,"Thịt bò trộn salad dầu ôliu là món ăn ít tinh bột, giàu đạm và chất xơ từ rau xanh. Thịt bò áp chảo mềm thơm kết hợp dầu ôliu béo nhẹ tạo nên món salad chuẩn keto kiểu Việt, thanh mát nhưng vẫn đủ dưỡng chất cho một bữa ăn lành mạnh.","Thịt bò: 200g, Xà lách: 50g, Rau mầm: 30g, Cà chua bi: 50g, Dưa leo: 50g, Dầu ôliu: 12ml, Muối: 2g, Tiêu: 1g, Giấm táo hoặc chanh: 5ml","Nồi hấp, Rây, Thau, Đũa, Vá","Sơ chế thịt bò và rau salad, Áp chảo bò đến khi chín vừa rồi thái lát, Trộn xà lách rau mầm dưa leo và cà chua bi, Thêm thịt bò lên trên và rưới dầu ôliu giấm táo muối tiêu, Trộn nhẹ tay và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
thit-ba-roi-nuong-lo-voi-rau-can-kieu-keto,Thịt ba rọi cuộn rau cần nướng,Bắc,main,dinner,50,30,medium,562,27,6,31,7,585,4,30000,50000,keto,,"Ngọt, Mặn, Cay, Thơm, Đậm đà",1,1,https://baokhanhhoa.vn/file/e7837c02857c8ca30185a8c39b582c03/dataimages/201509/original/images1095458_Baroi.jpg,"Thịt ba rọi cuộn rau cần nướng là món ăn đậm đà, ít tinh bột và giàu chất béo tốt. Thịt ba rọi béo mềm được cuộn cùng rau cần thanh mát, nướng lên thơm lừng giúp món ăn giữ được vị ngọt tự nhiên mà vẫn phù hợp với chế độ ăn keto kiểu Việt.","Thịt ba rọi: 200g, Rau cần: 100g, Dầu ôliu: 10ml, Tỏi băm: 5g, Muối: 2g, Tiêu: 1g, Nước mắm: 8ml, Đường ăn kiêng: 1g","Nồi hấp, Rây, Thau, Đũa, Vá","Sơ chế và rửa sạch thịt ba rọi và rau cần, Cắt thịt thành dải mỏng và ướp với muối tiêu tỏi và nước mắm, Cuộn thịt với rau cần rồi cố định, Làm nóng lò và xếp các cuộn vào khay, Nướng đến khi thịt vàng thơm và rau cần chín mềm, Rưới dầu ôliu nhẹ và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
ca-hoi-sot-cam,Cá hồi sốt cam,Bắc,main,breakfast,47,35,medium,575,23,6,42,7,832,4,30000,50000,keto,"Cá hồi, Bơ","Ngọt, Mặn, Cay, Thơm, Béo",0,1,https://img-global.cpcdn.com/recipes/6963c65c4698483d/300x426cq80/ca-h%E1%BB%93i-s%E1%BB%91t-cam-recipe-main-photo.webp,"Cá hồi sốt cam là món ăn thanh nhẹ, giàu omega-3 và vitamin. Thịt cá hồi béo mềm kết hợp vị chua ngọt tự nhiên của cam tạo nên món ăn hài hòa, dễ ăn và tốt cho sức khỏe. Món này phù hợp cho thực đơn lành mạnh hoặc biến tấu theo phong cách keto khi giảm tối đa lượng đường.","Cá hồi: 200g, Nước cam vắt: 40ml, Cam cắt lát: 2 lát, Bơ lạt: 10g, Tỏi băm: 5g, Muối: 2g, Tiêu: 1g, Đường ăn kiêng: 1–2g, Nước mắm: 5ml","Nồi, Thớt, Dao, Muỗng, Đũa, Tô","Sơ chế và thấm khô cá hồi, Ướp cá với muối tiêu và ít nước mắm, Áp chảo cá hồi vàng đều hai mặt, Phi thơm tỏi với bơ rồi cho nước cam và đường ăn kiêng vào, Đun sệt nhẹ thành sốt và cho cá hồi vào áo đều, Thêm lát cam và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
tom-rim-nuoc-mam-voi-bong-cai-xanh-kieu-keto,Tôm rim nước mắm với bông cải xanh kiểu keto,Trung,main,dinner,32,67,easy,538,25,3,29,6,460,3,25000,55000,keto,"Tôm, Nước mắm","Ngọt, Mặn, Cay, Thơm",2,1,https://doiduavang.vn/wp-content/uploads/2022/01/cach-lam-tom-chua-ngot-xao-bong-cai-xanh.jpg,"Tôm rim nước mắm với bông cải xanh kiểu keto là món ăn ít tinh bột, giàu đạm và khoáng chất. Tôm rim đậm vị nước mắm hòa với bông cải xanh giòn ngọt tạo nên bữa ăn vừa đưa cơm vừa phù hợp cho người theo chế độ keto kiểu Việt.","Tôm tươi: 200g, Bông cải xanh: 150g, Nước mắm: 10ml, Tỏi băm: 5g, Dầu ôliu: 10ml, Muối: 1g, Tiêu: 1g, Đường ăn kiêng: 1–2g","Nồi hấp, Rây, Thau, Đũa, Vá","Sơ chế và rửa sạch tôm và bông cải xanh, Phi thơm tỏi với dầu rồi cho tôm vào xào đến khi săn, Thêm nước mắm và đường ăn kiêng rim đến khi thấm đậm vị, Cho bông cải xanh vào đảo đều đến khi chín giòn, Nêm muối tiêu cho vừa ăn và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
salad-ngu-sac,Salad ngũ sắc trộn dầu ôliu,Bắc,main,dinner,45,30,medium,506,26,5,34,7,455,4,40000,70000,keto,,"Mặn, Chua, Cay",2,1,https://img-global.cpcdn.com/recipes/0bcfdd7ca255a976/1200x630cq80/photo.jpg,"Salad ngũ sắc trộn dầu ôliu là món ăn tươi mát, ít tinh bột nhưng giàu vitamin và chất xơ. Sự kết hợp của nhiều loại rau củ đầy màu sắc giúp món ăn bắt mắt, giàu dinh dưỡng và rất phù hợp cho chế độ ăn lành mạnh hoặc keto kiểu Việt.","Xà lách: 40g, Cà rốt: 40g, Bắp cải tím: 40g, Dưa leo: 40g, Cà chua bi: 50g, Rau mầm: 30g, Dầu ôliu: 12ml, Muối: 1g, Tiêu: 1g, Giấm táo hoặc chanh: 5ml","Nồi, Thớt, Dao, Muỗng, Đũa, Tô","Sơ chế và rửa sạch tất cả rau củ, Cắt nhỏ hoặc bào sợi cà rốt bắp cải tím và dưa leo, Trộn xà lách rau mầm và cà chua bi trong tô lớn, Rưới dầu ôliu giấm táo muối và tiêu, Trộn đều nhẹ tay và trình bày ra dĩa",Keto / Low-carb,
tom-tron-salad-dau-oliu-voi-bong-cai-xanh-kieu-keto,Tôm trộn salad dầu ôliu với bông cải xanh kiểu keto,Bắc,main,breakfast,38,30,medium,437,27,3,30,4,323,5,40000,80000,keto,"Tôm, Bông cải","Mặn, Chua, Cay",1,1,https://www.lemon8-app.com/seo/image?item_id=7225579607859282433&index=1&sign=2f54336449e24a8236efd39954717b0e,"Tôm trộn salad dầu ôliu với bông cải xanh kiểu keto là món ăn thanh mát, ít tinh bột, giàu đạm và chất béo tốt. Tôm luộc hoặc áp chảo kết hợp bông cải xanh và rau xanh tươi giòn giúp món salad vừa bổ dưỡng vừa phù hợp cho chế độ ăn keto kiểu Việt.","Tôm tươi: 200g, Bông cải xanh: 120g, Xà lách: 40g, Cà chua bi: 50g, Dầu ôliu: 12ml, Muối: 1g, Tiêu: 1g, Giấm táo hoặc chanh: 5ml","Chảo chống dính, Thớt, Dao, Muỗng, Dĩa","Sơ chế tôm và bông cải xanh, Luộc hoặc áp chảo tôm đến khi chín, Chần bông cải xanh cho giòn xanh, Trộn tôm với xà lách và cà chua bi, Rưới dầu ôliu giấm táo muối và tiêu, Trộn đều nhẹ tay và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
ca-thu-sot-ca,Cá thu sốt cà,Nam,main,lunch,37,70,medium,596,22,4,29,7,618,5,35000,55000,keto,"Cá thu, Nước mắm","Ngọt, Mặn, Cay, Thơm",0,1,https://barona.vn/storage/meo-vat/112/ca-thu-sot-ca-chua.jpg,"Cá thu sốt cà là món ăn đậm đà, dễ ăn với vị chua ngọt hài hòa từ cà chua. Cá thu béo mềm thấm đều sốt cà giúp món ăn trở nên hấp dẫn, phù hợp cho thực đơn lành mạnh hoặc điều chỉnh lại để phù hợp với chế độ ăn ít tinh bột/keto kiểu Việt.","Cá thu: 200g, Cà chua: 150g, Hành tím: 5g, Tỏi băm: 5g, Dầu ôliu: 10ml, Nước mắm: 10ml, Muối: 1g, Tiêu: 1g, Đường ăn kiêng: 1–2g, Nước lọc: 30ml","Nồi hấp, Rây, Thau, Đũa, Vá","Sơ chế và rửa sạch cá thu và cà chua, Áp chảo cá thu đến khi vàng hai mặt, Phi thơm hành tỏi rồi cho cà chua vào đảo đến khi mềm, Thêm nước mắm muối tiêu đường ăn kiêng và nước lọc tạo sốt, Cho cá thu vào rim đến khi thấm đậm vị, Trình bày ra dĩa và thưởng thức",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
ca-hoi-xao-voi-rau-cai-thia-kieu-keto,Cá hồi xào với rau cải thìa kiểu keto,Nam,main,breakfast,45,30,easy,573,30,9,26,4,505,5,40000,70000,keto,Cá,"Ngọt, Mặn, Cay, Thơm, Béo",0,1,https://cakholangvudai.com/wp-content/uploads/2015/01/ca-hoi-xao-cai-thia.jpg,"Cá hồi xào với rau cải thìa kiểu keto là món ăn ít tinh bột, giàu omega-3 và vitamin. Cá hồi mềm béo kết hợp cải thìa giòn ngọt giúp món ăn thanh nhẹ nhưng đầy đủ dinh dưỡng, rất phù hợp cho chế độ ăn keto kiểu Việt.","Cá hồi: 200g, Cải thìa: 150g, Tỏi băm: 5g, Dầu ôliu: 10ml, Bơ lạt: 10g, Muối: 2g, Tiêu: 1g, Nước mắm: 8ml, Đường ăn kiêng: 1g","Nồi, Thớt, Dao, Muỗng, Đũa, Tô","Sơ chế và cắt cá hồi cải thìa, Phi thơm tỏi với dầu rồi cho cá hồi vào đảo nhẹ đến khi săn, Thêm cải thìa vào xào cùng đến khi chín giòn, Nêm nước mắm muối tiêu và đường ăn kiêng, Thêm bơ để tạo độ béo và trộn đều, Trình bày ra dĩa và thưởng thức",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
thit-ba-roi-ap-chao-bo-toi-voi-bi-ngoi-kieu-keto,Thịt ba rọi áp chảo bơ tỏi với bí ngòi kiểu keto,Nam,main,dinner,42,30,easy,621,27,12,42,5,885,2,30000,50000,keto,Bơ,"Ngọt, Mặn, Cay, Thơm, Béo, Đậm đà",1,1,https://www.lemon8-app.com/seo/image?item_id=7223311672725848577&index=4&sign=b2370ee19ab2d9b9ba0ee122cbcf3996,"Thịt ba rọi áp chảo bơ tỏi với bí ngòi kiểu keto là món ăn đậm đà, ít tinh bột và giàu chất béo tốt. Thịt ba rọi được áp chảo vàng giòn, hòa quyện cùng bí ngòi giòn ngọt và hương bơ tỏi thơm lừng, tạo nên món ăn chuẩn keto nhưng vẫn mang phong vị Việt.","Thịt ba rọi: 200g, Bí ngòi xanh: 150g, Bơ lạt: 12g, Tỏi băm: 6g, Dầu ôliu: 5ml, Muối: 2g, Tiêu: 1g, Nước mắm: 8ml, Đường ăn kiêng: 1g","Nồi, Thớt, Dao, Muỗng, Đũa, Tô","Sơ chế và cắt thịt ba rọi và bí ngòi, Áp chảo thịt ba rọi đến khi vàng giòn và ra bớt mỡ, Phi thơm tỏi với bơ rồi cho bí ngòi vào xào đến khi chín vừa, Thêm thịt ba rọi vào đảo đều, Nêm nước mắm muối tiêu và đường ăn kiêng, Trình bày ra dĩa và thưởng thức",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian), Không sữa"
tom-xao-toi-voi-nam-dui-ga-kieu-keto,Tôm xào tỏi với nấm đùi gà kiểu keto,Bắc,main,dinner,40,30,medium,573,29,11,35,6,840,2,30000,70000,keto,"Tôm, Gà, Nấm","Ngọt, Mặn, Cay, Thơm, Béo, Đậm đà",0,1,https://happyfood.vn/wp-content/uploads/2023/01/efedfefg.png,"Tôm xào tỏi với nấm đùi gà kiểu keto là món ăn ít tinh bột, giàu đạm và hương vị tự nhiên. Tôm tươi ngọt kết hợp nấm đùi gà giòn mềm, hòa cùng mùi tỏi phi thơm lừng giúp món ăn đơn giản nhưng rất bổ dưỡng, phù hợp cho chế độ ăn keto kiểu Việt.","Tôm tươi: 200g, Nấm đùi gà: 150g, Tỏi băm: 6g, Dầu ôliu: 10ml, Bơ lạt: 8g, Muối: 2g, Tiêu: 1g, Nước mắm: 8ml, Đường ăn kiêng: 1g","Chảo, Nồi, Đũa, Thớt, Dao, Chén","Sơ chế và rửa sạch tôm và nấm đùi gà, Cắt nấm thành miếng vừa ăn, Phi thơm tỏi với dầu rồi cho tôm vào xào đến khi săn, Thêm nấm và xào đến khi mềm, Nêm nước mắm muối tiêu và đường ăn kiêng, Thêm bơ cho dậy mùi và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
uc-ga-ap-chao-voi-mang-tay-kieu-keto,Ức gà áp chảo với măng tây kiểu keto,Trung,main,lunch,50,30,easy,427,30,11,27,5,780,5,35000,65000,keto,Gà,"Ngọt, Mặn, Cay, Thơm, Béo",2,1,https://img-global.cpcdn.com/recipes/c0ce55468fd62513/1200x630cq80/photo.jpg,"Ức gà áp chảo với măng tây kiểu keto là món ăn ít tinh bột, giàu đạm và vitamin. Ức gà mềm săn kết hợp măng tây giòn ngọt, thêm chút bơ tỏi thơm lừng tạo nên một bữa ăn thanh nhẹ nhưng đầy đủ dinh dưỡng, phù hợp cho chế độ keto kiểu Việt.","Ức gà: 200g, Măng tây: 150g, Bơ lạt: 10g, Dầu ôliu: 5ml, Tỏi băm: 5g, Muối: 2g, Tiêu: 1g, Nước mắm: 8ml, Đường ăn kiêng: 1g","Nồi, Thớt, Dao, Muỗng, Đũa, Tô","Sơ chế và cắt ức gà và măng tây, Ướp gà với muối tiêu tỏi và nước mắm, Áp chảo gà với dầu ôliu đến khi vàng đều, Xào măng tây với bơ đến khi chín giòn, Trộn gà và măng tây lại với nhau và nêm đường ăn kiêng, Trình bày ra dĩa và thưởng thức",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
uc-ga-rim-nuoc-mam,Ức gà rim nước mắm,Trung,main,dinner,42,70,medium,542,32,6,43,3,685,3,30000,70000,keto,"Nước mắm, Bơ (nếu kiểu Keto)","Ngọt, Mặn, Cay, Thơm, Béo",2,1,https://cdn.tgdd.vn/Files/2020/04/29/1252562/cach-lam-mon-uc-ga-chien-nuoc-mam-cay-man-thom-ng-7.jpg,"Ức gà rim nước mắm kiểu keto là món ăn đơn giản, đậm đà, ít tinh bột và giàu đạm. Ức gà được rim nhẹ với nước mắm và gia vị làm dậy lên hương vị đặc trưng, phù hợp cho thực đơn keto kiểu Việt vừa ngon miệng vừa dễ chế biến.","Ức gà: 200g, Nước mắm: 10ml, Tỏi băm: 5g, Dầu ôliu hoặc bơ lạt: 10ml, Muối: 1g, Tiêu: 1g, Đường ăn kiêng: 2g, Nước lọc: 20ml","Chảo chống dính, Thớt, Dao, Muỗng, Dĩa","Sơ chế và cắt ức gà thành miếng vừa ăn, Ướp gà với nước mắm muối tiêu và tỏi, Làm nóng chảo với dầu và áp chảo gà đến khi săn, Thêm nước lọc và đường ăn kiêng rồi rim lửa nhỏ đến khi sệt lại, Nêm lại cho vừa ăn và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
tom-ap-chao-sot-bo-voi-dua-chuot,Tôm áp chảo sốt bơ với dưa chuột,Bắc,main,breakfast,38,30,medium,633,22,10,26,7,830,2,25000,65000,keto,"Tôm, Bơ","Ngọt, Mặn, Cay, Thơm, Béo",2,1,https://s1.media.ngoisao.vn/news/2021/04/08/tomap-chao-sot-bo-duachuot-ngoisaovb-4-ngoisaovn-w2048-h1470.jpg,"Tôm áp chảo sốt bơ với dưa chuột là món ăn thanh nhẹ, ít tinh bột nhưng giàu đạm. Tôm áp chảo thơm ngọt quyện cùng sốt bơ béo nhẹ và dưa chuột giòn mát giúp món ăn vừa đậm đà vừa tươi mát, rất phù hợp cho chế độ ăn keto kiểu Việt.","Tôm tươi: 200g, Dưa chuột: 100g, Bơ lạt: 12g, Tỏi băm: 5g, Dầu ôliu: 5ml, Muối: 2g, Tiêu: 1g, Nước mắm: 5ml, Đường ăn kiêng: 1g","Nồi hấp, Rây, Thau, Đũa, Vá","Sơ chế và rửa sạch tôm và dưa chuột, Làm nóng chảo và áp chảo tôm đến khi chín đỏ, Phi thơm tỏi với bơ rồi cho dưa chuột cắt lát vào đảo nhanh, Cho tôm trở lại chảo và nêm muối tiêu nước mắm và đường ăn kiêng, Trộn đều cho thấm vị và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian), Không sữa"
bi-ngoi-xao-thit-heo,Bí ngòi xào thịt heo,Trung,main,dinner,50,30,easy,638,25,7,31,4,832,3,25000,55000,keto,"Nước mắm, Bơ (nếu kiểu Keto)","Ngọt, Mặn, Cay, Thơm, Béo, Đậm đà",1,1,https://storage.googleapis.com/onelife-public/blog.onelife.vn/2021/11/cach-lam-bi-ngoi-xao-thit-heo-mon-chinh-930184604839.jpg,"Bí ngòi xào thịt heo keto là món ăn ít tinh bột, giàu đạm và chất béo tốt. Thịt heo mềm béo kết hợp bí ngòi giòn ngọt tạo nên món ăn đơn giản, dễ làm nhưng vẫn phù hợp với chế độ keto kiểu Việt và thực đơn giảm carb.","Thịt heo: 200g, Bí ngòi xanh: 150g, Tỏi băm: 5g, Dầu ôliu: 10ml, Bơ lạt: 8g, Nước mắm: 8ml, Muối: 2g, Tiêu: 1g, Đường ăn kiêng: 1g","Chảo chống dính, Thớt, Dao, Muỗng, Dĩa","Sơ chế thịt heo và bí ngòi, Cắt thịt heo và ướp với muối tiêu tỏi và nước mắm, Làm nóng chảo rồi xào thịt đến khi săn, Thêm bí ngòi vào đảo đều đến khi chín vừa, Thêm bơ và đường ăn kiêng tạo độ béo và vị đậm đà, Trình bày ra dĩa và thưởng thức",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
thit-ba-roi-xao-voi-bong-cai-xanh-kieu-keto,Thịt ba rọi xào với bông cải xanh kiểu keto,Nam,main,lunch,22,39,medium,569,33,3,34,7,841,5,40000,60000,keto,Bông cải,"Ngọt, Mặn, Cay, Thơm, Đậm đà",2,1,https://i.ytimg.com/vi/RAYOhqg1Uis/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBHzS1AftWj8jscVpPdF7_QaCC_CA,"Thịt ba rọi xào với bông cải xanh kiểu keto là món ăn đậm đà, ít tinh bột và giàu chất béo tốt. Thịt ba rọi béo mềm hòa quyện cùng bông cải xanh giòn ngọt tạo nên món ăn đơn giản nhưng vô cùng đưa cơm, phù hợp với chế độ keto kiểu Việt.","Thịt ba rọi: 200g, Bông cải xanh: 150g, Tỏi băm: 6g, Dầu ôliu: 10ml, Nước mắm: 8ml, Muối: 2g, Tiêu: 1g, Đường ăn kiêng: 1g","Nồi hấp, Rây, Thau, Đũa, Vá","Sơ chế và cắt thịt ba rọi và bông cải xanh, Áp chảo thịt ba rọi đến khi săn và ra bớt mỡ, Thêm tỏi vào phi thơm rồi cho bông cải xanh vào xào, Nêm nước mắm muối tiêu và đường ăn kiêng, Xào đến khi chín vừa và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
salad-ga-xe,Salad gà xé ,Trung,main,breakfast,38,30,medium,422,24,7,40,4,655,3,40000,60000,keto,Gà,"Mặn, Chua, Cay",0,1,https://drinkocany.com/wp-content/uploads/2023/06/salad-ga-xe-0.jpg,"Salad gà xé là món ăn thanh nhẹ, ít tinh bột nhưng giàu đạm và chất xơ. Ức gà được luộc hoặc áp chảo rồi xé nhỏ, trộn cùng rau xanh và dầu ôliu tạo nên món salad tươi mát, dễ ăn và phù hợp cho chế độ keto hoặc eatclean kiểu Việt.","Ức gà luộc/xé: 150g, Xà lách: 40g, Rau mầm: 30g, Cà chua bi: 50g, Dưa leo: 50g, Dầu ôliu: 12ml, Muối: 1g, Tiêu: 1g, Giấm táo hoặc chanh: 5ml","Chảo, Nồi, Đũa, Thớt, Dao, Chén","Luộc hoặc áp chảo ức gà rồi xé nhỏ, Sơ chế và rửa sạch các loại rau salad, Trộn xà lách rau mầm cà chua bi và dưa leo trong tô lớn, Thêm gà xé lên trên và rưới dầu ôliu giấm muối tiêu, Trộn đều nhẹ tay và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
uc-ga-tron-salad-dau-oliu-voi-mang-tay-kieu-keto,Ức gà trộn salad dầu ôliu với măng tây kiểu keto,Nam,main,lunch,42,30,medium,468,35,5,34,5,431,3,25000,45000,keto,Gà,"Mặn, Cay, Thơm, Béo",0,1,https://core.afg.vn/uploads/images/Nguy%C3%AAn-li%E1%BB%87u-c%E1%BA%A7n-chu%E1%BA%A9n-b%E1%BB%8B-%C4%91%E1%BB%83-l%C3%A0m-salad-%E1%BB%A9c-g%C3%A0.jpg,"Ức gà trộn salad dầu ôliu với măng tây kiểu keto là món ăn ít tinh bột, nhiều đạm và chất béo tốt, phù hợp cho chế độ keto kiểu Việt.","Ức gà: 200g, măng tây: 150g, Bơ lạt: 20g, Tỏi băm: 10g, Nước mắm: 10ml, Muối: 3g, Tiêu: 2g, Dầu ôliu: 10ml","Chảo, Nồi, Đũa, Thớt, Dao, Chén","Sơ chế và rửa sạch nguyên liệu, Ướp Ức gà với gia vị cơ bản, Làm nóng chảo và xào/áp chảo cùng măng tây, Nêm lại cho vừa ăn và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
trung-ga-tron-salad-dau-oliu-voi-mang-tay-kieu-keto,Trứng gà trộn salad dầu ôliu kiểu keto,Trung,main,dinner,38,30,easy,612,28,4,45,3,652,2,35000,75000,keto,"Gà, Trứng","Mặn, Chua, Cay",0,1,https://img-global.cpcdn.com/recipes/c32afdd9f367a10f/1200x630cq80/photo.jpg,"Trứng gà trộn salad dầu ôliu kiểu keto là món ăn nhẹ, ít tinh bột nhưng giàu đạm và chất béo tốt. Trứng luộc béo bùi kết hợp rau xanh tươi mát và dầu ôliu thơm nhẹ giúp món ăn thanh lành, đơn giản và phù hợp cho thực đơn keto kiểu Việt.","Trứng gà: 2 quả (100g), Xà lách: 40g, Rau mầm: 30g, Dưa leo: 50g, Cà chua bi: 50g, Dầu ôliu: 12ml, Muối: 1g, Tiêu: 1g, Giấm táo hoặc chanh: 5ml","Nồi, Thớt, Dao, Muỗng, Đũa, Tô","Luộc trứng và bóc vỏ rồi cắt nhỏ, Sơ chế và rửa sạch rau xanh, Trộn xà lách rau mầm dưa leo và cà chua bi trong tô, Thêm trứng vào và rưới dầu ôliu giấm muối tiêu, Trộn đều nhẹ tay và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
nam-dui-ga-kho-tieu-xanh,Nấm đùi gà kho với tiêu xanh,Bắc,main,lunch,27,70,medium,457,28,8,25,3,773,2,30000,50000,keto,"Nước mắm, Nước tương","Ngọt, Mặn, Cay, Thơm, Đậm đà",1,1,https://i.ytimg.com/vi/OROl9lYKMCo/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLB0PJiS1wV88h_tAz6zSBQh8lCytQ,"Nấm đùi gà kho với tiêu xanh kiểu keto là món ăn ít tinh bột, giàu chất xơ và hương vị đậm đà. Nấm đùi gà thấm vị kho mặn nhẹ kết hợp tiêu xanh cay nồng tạo nên món chay keto thơm ngon, phù hợp cho bữa ăn thanh đạm nhưng vẫn đủ dinh dưỡng.","Nấm đùi gà: 200g, Tiêu xanh: 8g, Tỏi băm: 5g, Hành tím: 5g, Dầu ôliu hoặc dầu dừa: 10ml, Nước mắm hoặc xì dầu ít carb: 10ml, Muối: 1g, Đường ăn kiêng: 1–2g, Nước lọc: 40ml","Nồi, Thớt, Dao, Muỗng, Đũa, Tô","Sơ chế và cắt nấm đùi gà thành miếng, Phi thơm tỏi và hành tím với dầu, Cho nấm vào xào đến khi săn và ra nước, Thêm tiêu xanh nước mắm và đường ăn kiêng rồi kho lửa nhỏ, Thêm nước lọc và kho đến khi sệt lại, Nêm lại cho vừa ăn và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
ca-thu-kho-tieu-xanh-voi-cai-xanh-kieu-keto,Cá thu kho tiêu xanh với cải xanh kiểu keto,Trung,main,breakfast,42,30,easy,416,27,10,42,7,462,5,30000,70000,keto,Cá,"Mặn, Cay, Thơm, Béo",1,1,https://i.ytimg.com/vi/dLuLDi_1UxY/hq720.jpg?rs=AOn4CLCCVY80i7NUmQP2VCQnjmf5M2x5Qg&sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&utm_source=chatgpt.com,"Cá thu kho tiêu xanh với cải xanh kiểu keto là món ăn ít tinh bột, nhiều đạm và chất béo tốt, phù hợp cho chế độ keto kiểu Việt.","Cá thu: 200g, cải xanh: 150g, Bơ lạt: 20g, Tỏi băm: 10g, Nước mắm: 10ml, Muối: 3g, Tiêu xanh: 5-10g, Dầu ôliu: 10ml","Nồi (hoặc chảo sâu lòng), Đũa, Thớt, Dao, Muỗng / thìa, Chén.","Sơ chế và rửa sạch nguyên liệu, Ướp Cá thu với gia vị cơ bản, Làm nóng chảo và xào/áp chảo cùng cải xanh, Nêm lại cho vừa ăn và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
trung-ga-rim-nuoc-mam-voi-rau-cai-thia-kieu-keto,Trứng gà rim nước mắm với rau cải thìa kiểu keto,Bắc,main,breakfast,42,30,easy,503,30,4,35,5,632,4,25000,65000,keto,"Gà, Trứng","Mặn, Cay, Thơm, Béo",1,1,https://i.ytimg.com/vi/IGMuqHiKEVU/hq720.jpg?rs=AOn4CLC66oSbg4WF0dpj4AQGE_IGTqBqgQ&sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD,"Trứng gà rim nước mắm với rau cải thìa kiểu keto là món ăn ít tinh bột, nhiều đạm và chất béo tốt, phù hợp cho chế độ keto kiểu Việt.","Trứng gà: 200g, rau cải thìa: 150g, Bơ lạt: 20g, Tỏi băm: 10g, Nước mắm: 10ml, Muối: 2-3g, Tiêu: 2g, Dầu ôliu: 10ml","Chảo, Nồi, Đũa, Thớt, Dao, Chén, Muỗng / thìa.","Sơ chế và rửa sạch nguyên liệu, Ướp Trứng gà với gia vị cơ bản, Làm nóng chảo và xào/áp chảo cùng rau cải thìa, Nêm lại cho vừa ăn và trình bày ra dĩa",Keto / Low-carb,"Thuần chay (Vegan), Ăn chay (Vegetarian)"
